column_name,mean,std
zcr,0.25010935716847643,0.11435628529149874
spectral_centroid,3374.1680277700234,1115.3496381344235
spectral_rolloff,5502.106884443802,1483.78149071771
mfcc_0,-391.9609836627451,113.75112764569438
mfcc_1,28.400714436627453,68.87882133457094
mfcc_2,-27.62645734269412,41.25771804195376
mfcc_3,21.026073178235297,30.17657369824212
mfcc_4,-13.584562011894116,23.821255353364556
mfcc_5,6.557765253882353,18.329818921284513
mfcc_6,-3.890398293686274,14.189116897631385
mfcc_7,-1.3548978529019609,12.46427833583752
mfcc_8,-4.25489160834902,11.726188208425153
mfcc_9,-0.933902810635294,9.450377811272967
mfcc_10,-3.8275121873411764,8.649407597642705
mfcc_11,0.5610992457725489,7.860284057109823
mfcc_12,-0.23980317794509806,6.500584026137656
chroma_0,0.45770077455294117,0.1347884990704539
chroma_1,0.4405181140627451,0.13197760671792658
chroma_2,0.4242283708156863,0.13059025889765663
chroma_3,0.41807830327058826,0.1352619857234908
chroma_4,0.4108824888078431,0.1377799785598839
chroma_5,0.41108368731764705,0.1358556638988248
chroma_6,0.4200831532823529,0.13561042770164866
chroma_7,0.4304900937372549,0.12832592456539113
chroma_8,0.4381251349803922,0.13037143367672915
chroma_9,0.44686611531764703,0.1339634734124005
chroma_10,0.45257916977254903,0.13040354412847688
chroma_11,0.46118607674901957,0.13614346379599926
