file_path,zcr,spectral_centroid,spectral_rolloff,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
birdsounds\xc101371.flac,0.5703624885740403,6172.901925974519,7386.341380898652,-636.15424,-19.553493,8.999573,-6.8583093,2.6706152,7.493067,-13.188851,14.840856,-18.969805,19.471676,-12.047686,5.1943483,-1.4657205,0.070619516,0.065521486,0.054488838,0.04887777,0.06369573,0.10328997,0.14426225,0.22893439,0.41837057,0.73233694,0.5103537,0.116290785
birdsounds\xc101377.flac,0.24736526726843025,2879.0297183118782,3830.443451538668,-508.97983,-4.325205,-39.670578,3.8638685,4.8625617,1.7750933,7.497664,-1.4836172,0.7141278,-1.2691225,-7.9194174,-1.2936655,5.247331,0.42696235,0.32892856,0.2255774,0.16596237,0.18108058,0.19256644,0.25968203,0.21875826,0.20843461,0.20956418,0.26686355,0.4198376
birdsounds\xc101862.flac,0.5232723460477942,6177.519174897554,8136.764131433823,-795.5379,-143.45088,58.78977,24.008863,-57.974365,41.470863,-1.7767226,-14.371585,10.208761,12.650118,-17.43765,14.2356205,3.6255782,0.5516039,0.53315496,0.47378814,0.37375537,0.32679638,0.29307976,0.27317494,0.27211273,0.30154064,0.45991394,0.5480564,0.56726676
birdsounds\xc101932.flac,0.3676214621750302,4639.337791363301,7378.780371448005,-721.7138,-75.53075,-73.765816,15.11451,5.051668,23.512499,23.851076,-14.790277,-14.201788,-2.0147204,-1.2815464,19.843008,4.7521234,0.4363841,0.5102112,0.5412981,0.56233096,0.46367303,0.42455915,0.40848306,0.38820377,0.3559008,0.36585808,0.4140532,0.41375458
birdsounds\xc101933.flac,0.41150235695708715,5096.981158302996,7801.655902044051,-722.9058,-117.29968,-53.90146,46.463905,24.241049,-4.4245024,-11.918976,-7.384314,8.268317,16.107534,-3.5450199,-2.9208033,-4.1717234,0.52121776,0.51264507,0.4818084,0.42906103,0.34494317,0.33842763,0.39657414,0.4121511,0.46057305,0.49263522,0.4770392,0.49202463
birdsounds\xc101934.flac,0.47141757457092637,5705.69952535981,7639.424773185484,-730.06555,-166.39117,34.16608,56.0951,-63.231686,10.17462,21.475512,-8.350937,-19.6143,24.509098,-1.7728567,-9.825319,4.890956,0.39114785,0.35792693,0.3188447,0.25560108,0.23442578,0.2826169,0.33074805,0.4420572,0.6232452,0.7024695,0.60551286,0.47946554
birdsounds\xc101935.flac,0.37825941765445403,4811.1151762510935,7038.661351697198,-665.90735,-129.64024,-55.40827,67.01553,17.218563,-8.365173,-37.342327,20.182108,18.2791,1.374107,-19.1717,3.4067302,9.236975,0.5641849,0.48622018,0.43733633,0.40074766,0.379272,0.37175524,0.30510274,0.26482758,0.27567935,0.36074373,0.5153286,0.6237528
birdsounds\xc101936.flac,0.5540287809551887,6387.554560522858,8572.733822228774,-686.1743,-130.5388,41.15448,31.499418,-41.04893,12.174726,14.524585,-8.0127,-10.963448,21.45095,-9.950209,-1.8509967,5.3177524,0.51197946,0.6039232,0.4562686,0.3629687,0.29312387,0.22816755,0.27764076,0.3693351,0.47596794,0.5680549,0.58054966,0.50309956
birdsounds\xc101940.flac,0.12141277374402934,2448.2852389872273,5076.898949270727,-541.0741,69.49362,-11.843022,-17.736479,-29.092562,-34.337616,-35.955368,-28.937895,-20.628479,-16.749666,-11.54812,-1.0019462,1.5657508,0.46519184,0.2840016,0.23779596,0.30401263,0.493803,0.48667672,0.30653477,0.33767048,0.27378425,0.29197016,0.32571205,0.41900086
birdsounds\xc101941.flac,0.05903650502689549,1812.203097689269,3931.0009565509736,-624.0946,82.46083,41.50521,24.964619,2.3414257,-8.81997,-11.815827,-16.150316,-12.647563,-10.919985,-7.600429,2.2195885,9.568345,0.5067757,0.3033505,0.2547555,0.23272738,0.24588107,0.2546958,0.28028357,0.34255794,0.3528809,0.42528003,0.52080894,0.67423713
birdsounds\xc102048.flac,0.46942440366563687,5834.3697994785425,8374.512414968513,-716.57794,-92.35048,21.51388,34.963634,-38.26684,9.857783,16.601473,-13.250902,-2.381883,12.677754,-4.1210985,-4.7814145,6.61689,0.45534435,0.42747542,0.38772038,0.3470864,0.2690119,0.22446856,0.2830789,0.44355872,0.4920058,0.45166236,0.43822145,0.49223682
birdsounds\xc102060.flac,0.25420190994690167,3769.4736317614093,7580.574334872916,-539.8244,53.755756,3.078922,-2.1167164,-16.106205,5.7141767,6.379275,3.070264,0.83164936,2.00129,-0.8167781,2.139891,-5.205102,0.5923835,0.5867237,0.61644745,0.60174686,0.6008174,0.55315,0.5451753,0.5242226,0.5255309,0.5460268,0.5695438,0.5942327
birdsounds\xc102106.flac,0.28625927985634647,4051.690383568683,6689.106721698113,-580.8893,45.79606,24.880692,19.751463,-28.392672,26.535988,7.682783,7.795791,23.50203,-4.830852,6.9797277,8.8175,-6.005084,0.42404974,0.56036043,0.47439802,0.39489704,0.3573765,0.34499595,0.3826627,0.36849818,0.35505256,0.3207752,0.29593486,0.32010952
birdsounds\xc102107.flac,0.4459373051489892,5250.879767743613,7508.021336698444,-674.85364,-72.95788,-23.458347,41.185276,-14.351325,11.134609,-6.9582067,-11.175581,13.865146,1.5484784,-3.263843,0.4505388,-4.760129,0.34552816,0.41541427,0.499377,0.5401079,0.33836415,0.24833079,0.265572,0.35083336,0.3602426,0.32547224,0.330361,0.3421265
birdsounds\xc102278.flac,0.35140905028059377,4773.9767572147275,7729.7884267797335,-777.84393,-125.12329,-49.265003,65.57596,13.730554,-33.99776,-8.580918,19.221247,13.283807,-6.237346,-12.638255,13.688235,8.907067,0.60050213,0.70029646,0.7137951,0.6484868,0.5694504,0.44728985,0.3177059,0.25161764,0.2586113,0.27825683,0.31595173,0.45075497
birdsounds\xc102788.flac,0.33333818461251863,4371.494320401957,7685.088792962929,-446.5266,4.722322,-24.545385,2.3156214,0.5927821,19.513264,0.5483768,-1.2940861,4.766595,4.5451045,-1.210324,2.886268,9.224792,0.5196838,0.43815887,0.37107378,0.37724075,0.41885835,0.42603558,0.4325337,0.46531603,0.52405643,0.57035697,0.5658115,0.5537351
birdsounds\xc102803.flac,0.37520824840065226,4708.592899380012,7480.427320818176,-649.5829,-49.61863,-61.270565,-2.903534,-5.4987054,32.32551,15.996243,-11.479977,0.1843383,-13.031884,-6.0623264,12.647542,-0.90248585,0.44075638,0.6675443,0.73760885,0.6240434,0.5665175,0.48384464,0.42537057,0.39223966,0.37371585,0.33608738,0.32183054,0.34785843
birdsounds\xc102868.flac,0.3292355007595486,4539.490944207941,8011.575889587402,-403.12772,-15.587653,-20.478611,23.281523,22.156746,5.6620145,-0.2047686,3.8689973,-4.505004,8.116171,8.968082,4.768316,-0.34841526,0.5261147,0.54503757,0.5698068,0.5926783,0.5947436,0.6477957,0.70025146,0.6886519,0.615967,0.5509591,0.5343395,0.53806156
birdsounds\xc102869.flac,0.1597854708224775,3180.4581212874664,6270.232098975604,-396.00003,23.964108,-21.322561,31.340853,33.57426,17.436642,3.4378633,7.694475,-3.9716294,4.728026,6.9817595,6.682962,5.7340584,0.4574633,0.4769709,0.4606043,0.4608948,0.48236057,0.5270728,0.56105846,0.5966834,0.5429391,0.46823183,0.43689084,0.4311424
birdsounds\xc102932.flac,0.317963351798904,3855.0098594783494,5805.604501960105,-355.45206,10.10264,-27.684528,39.4585,-27.815159,2.2324069,-3.8512404,6.1309853,-5.364355,1.7065287,-4.4834433,-0.61241597,0.65431094,0.400967,0.3739784,0.3695129,0.37524486,0.33431894,0.30126894,0.3388347,0.39537928,0.405359,0.38083532,0.3285353,0.3700268
birdsounds\xc103145.flac,0.28089721525363465,3962.351270125875,6755.4435797497235,-428.35138,50.683796,5.537931,0.32738668,-13.452169,-1.0329928,-21.421555,2.4425921,-24.608597,1.1315995,-14.919481,4.517368,-0.14917347,0.47873354,0.441407,0.383232,0.32456073,0.28496674,0.26868913,0.29065323,0.33469325,0.40060842,0.48705465,0.5509111,0.52403325
birdsounds\xc106846.flac,0.45299367981307403,5186.09386347035,7604.706560347302,-602.3504,-40.56617,-27.708117,3.1881497,-39.962395,-20.147108,-15.270183,-1.6629668,-19.765789,-3.4619734,-9.145176,-0.8505097,1.2205622,0.4051459,0.32660198,0.2504554,0.2782667,0.29473993,0.28917944,0.3420177,0.38887697,0.4551946,0.54026306,0.39782062,0.34067526
birdsounds\xc108002.flac,0.19436703286359724,2708.720113509328,4954.866634506777,-431.3765,74.31775,-47.35024,9.162242,-26.778467,5.3452673,-14.966103,-2.030296,-12.8365,4.180405,-15.872387,-4.417552,-5.5503902,0.5896471,0.54201573,0.49032542,0.43917888,0.41438174,0.41748962,0.46769693,0.5555321,0.644593,0.6350228,0.6265518,0.6497477
birdsounds\xc110167.flac,0.18091102704390116,2389.4799960598484,3207.4283443414824,-326.92072,46.2223,-52.655323,14.619247,25.782593,-21.948917,-34.800926,10.221246,12.629177,-16.718431,-28.29821,2.8363917,3.5255353,0.414218,0.76012915,0.31981403,0.13906555,0.12541358,0.114036955,0.08803586,0.07114912,0.07335897,0.09834285,0.1884002,0.26922157
birdsounds\xc110303.flac,0.460800020417283,5370.480201664813,6830.240716877774,-434.08545,-76.42018,62.681503,35.11541,-61.77966,62.968746,-34.4279,2.2587383,-9.955427,-8.226356,-7.6506863,-4.7041016,-3.2899525,0.05810283,0.14063144,0.35958475,0.39583424,0.60940367,0.6773012,0.43060303,0.29695615,0.20766564,0.17477846,0.07674897,0.05166886
birdsounds\xc113082.flac,0.5297732080954323,5563.035908896102,7295.5756780179445,-445.60947,-109.00064,-59.622234,18.965427,-37.319866,27.089764,-24.84926,12.938616,-28.257845,10.892463,-23.878263,-0.25130892,-10.850474,0.31223145,0.27209055,0.25180173,0.22070038,0.21205433,0.21010573,0.26854333,0.4589317,0.7056212,0.7090458,0.532241,0.39297056
