file_path,distance
birdsounds\56157-0.wav,4.635389160023191
birdsounds\559314-0.wav,4.83465480266458
birdsounds\75110-0.wav,4.920034329712427
birdsounds\477595-0.wav,4.979468174869925
birdsounds\480224-0.wav,5.113154679860235
birdsounds\490932-0.wav,5.273763617952501
birdsounds\557140-0.wav,5.329801858991576
birdsounds\563017-0.wav,5.362655265049349
birdsounds\536012-0.wav,5.371974391433605
birdsounds\541496-0.wav,5.373196748005627
birdsounds\557838-0.wav,5.537363217216638
birdsounds\468209-0.wav,5.564571701215866
birdsounds\58179-0.wav,5.696539974105035
birdsounds\530427-0.wav,5.778035802318973
birdsounds\470300-0.wav,5.88081101033398
birdsounds\552447-0.wav,5.963692994478069
birdsounds\542156-0.wav,6.06207566161218
birdsounds\469351-0.wav,6.185102656824339
birdsounds\477785-0.wav,6.204536381521162
birdsounds\56229-0.wav,6.221080519107184
birdsounds\554192-0.wav,6.226764491045583
birdsounds\489315-0.wav,6.315036215797225
birdsounds\78015-0.wav,6.32711615178385
birdsounds\539392-0.wav,6.334080649352212
birdsounds\473452-0.wav,6.342546985871341
birdsounds\470301-0.wav,6.365040441744262
birdsounds\483628-0.wav,6.385523649504668
birdsounds\551290-0.wav,6.462737202446397
birdsounds\544559-0.wav,6.524392472884103
birdsounds\76471-0.wav,6.548770550088516
birdsounds\513350-0.wav,6.588023147052443
birdsounds\66355-0.wav,6.620117770217485
birdsounds\468991-0.wav,6.7133334298199125
birdsounds\563197-0.wav,6.720796362710913
birdsounds\556688-0.wav,6.774438022343552
birdsounds\557836-0.wav,6.798500549734933
birdsounds\62782-0.wav,6.882832850832019
birdsounds\557135-0.wav,6.924123556937168
birdsounds\57040-0.wav,6.924208635999268
birdsounds\558225-0.wav,6.926403936048561
birdsounds\52363-0.wav,6.9364393186271895
birdsounds\76206-0.wav,6.972875265217356
birdsounds\483220-0.wav,7.008831501840339
birdsounds\486798-0.wav,7.033047475233444
birdsounds\77904-0.wav,7.042074470239786
birdsounds\546760-0.wav,7.061423953424005
birdsounds\563125-0.wav,7.110619431927672
birdsounds\534181-0.wav,7.111919518341227
birdsounds\538537-0.wav,7.1129557029037915
birdsounds\79109-0.wav,7.1706091586486735
birdsounds\54019-0.wav,7.1786461370571395
birdsounds\77133-0.wav,7.210103599062481
birdsounds\79086-0.wav,7.222470184245276
birdsounds\562172-0.wav,7.248382750723539
birdsounds\466697-0.wav,7.265763081341373
birdsounds\61472-0.wav,7.275516915393571
birdsounds\492783-0.wav,7.303465663741632
birdsounds\469007-0.wav,7.3217580557543585
birdsounds\501838-0.wav,7.363353714935574
birdsounds\67466-0.wav,7.366069017415301
birdsounds\469605-0.wav,7.388169307680863
birdsounds\538843-0.wav,7.396013852159248
birdsounds\489169-0.wav,7.418956939437544
birdsounds\545900-0.wav,7.430992857588192
birdsounds\562221-0.wav,7.434773291913025
birdsounds\559279-0.wav,7.488289621951241
